fecha;pais;casos_mes;muertes_mes;incicencia_media_mes
10/2020;Denmark;17761;69;119.35595155870969
9/2020;Denmark;10764;26;62.44430049666666
8/2020;Denmark;2975;9;22.497547078709676
7/2020;Denmark;974;10;6.913774623225806
6/2020;Denmark;1118;34;9.774809089333333
5/2020;Denmark;2625;128;25.88498551419355
4/2020;Denmark;6431;366;50.76459204266666
3/2020;Denmark;2575;77;12.852487012903225
2/2020;Denmark;2;0;0.0023756303448275863
11/2020;Estonia;6927;36;188.9573547762069
10/2020;Estonia;1456;9;45.06759530580645
9/2020;Estonia;942;0;26.033725335666666
8/2020;Estonia;322;1;8.449108850645162
7/2020;Estonia;64;0;1.6435586380645162
6/2020;Estonia;122;0;5.7341123073333335
5/2020;Estonia;199;13;8.376061799354838
4/2020;Estonia;951;47;40.483487065666665
3/2020;Estonia;714;3;17.230207180384614
2/2020;Estonia;1;0;0.005205651724137931
11/2020;Faroe_Islands;8;0;9.492552241034483
10/2020;Faroe_Islands;31;0;40.490739814838705
9/2020;Faroe_Islands;52;0;48.277420545666665
8/2020;Faroe_Islands;191;0;182.97042983096776
7/2020;Faroe_Islands;33;0;10.603139720967743
5/2020;Faroe_Islands;0;0;1.1265835948387095
4/2020;Faroe_Islands;19;0;71.14927652366667
3/2020;Faroe_Islands;168;0;118.28363103076923
11/2020;Finland;8397;35;60.551313163103444
10/2020;Finland;6018;15;43.15675599290323
9/2020;Finland;1815;8;11.239744549333333
8/2020;Finland;654;6;4.558754616774194
7/2020;Finland;214;1;1.7526476454838709
6/2020;Finland;383;12;4.937851871333334
5/2020;Finland;1920;110;19.64625642516129
4/2020;Finland;3593;193;28.763863091333334
3/2020;Finland;1310;13;7.229644471481481
2/2020;Finland;2;0;0.00999877
1/2020;Finland;1;0;0.0011692109677419354
11/2020;France;876715;15562;748.8599180103448
10/2020;France;781294;4672;400.488519832258
9/2020;France;272747;1287;163.53109296766667
8/2020;France;91370;352;44.200311790967746
7/2020;France;22313;441;12.700976204193548
6/2020;France;12764;1042;10.663471976666667
5/2020;France;23054;4684;17.862814672580644
4/2020;France;83892;21063;66.853712293
3/2020;France;44493;3022;15.524795289354838
2/2020;France;51;2;0.01121760448275862
1/2020;France;6;0;0.001299701612903226
11/2020;Georgia;93432;923;951.4676269
10/2020;Georgia;33070;274;255.6327411664516
9/2020;Georgia;4379;14;34.035051374
8/2020;Georgia;327;2;3.6029165616129033
