Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
CHAMPIÑONES+O.SETAS;08/2018;4.196;4.398;2032.936;1386.327;484.544;315.22;4.162;3.768;3.746;585.342;435.388;1612.293;140.639;115.543;430.368;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;08/2018;2.959;3.248;6125.243;3861.109;2069.829;1188.645;2.722;2.383;2.893;830.721;2099.313;7029.674;305.145;880.899;2429.881;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;08/2018;3.185;3.83;322.39;400.864;101.216;104.658;4.703;2.667;1.632;141.398;138.165;757.298;30.064;51.799;464.128;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;08/2018;2.838;2.964;1084.483;1032.561;382.16;348.352;2.319;2.032;2.58;225.077;494.756;1517.398;97.078;243.529;588.199;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;08/2018;1.337;1.304;2292.561;473.252;1714.854;362.818;1.378;1.377;1.258;495.858;368.517;2826.634;359.932;267.638;2247.17;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;08/2018;0.862;0.877;1632.177;1005.627;1892.852;1146.433;0.775;0.86;1.036;306.954;565.057;1739.165;396.182;657.262;1679.296;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;08/2018;1.268;1.047;2749.481;1665.04;2168.289;1590.34;1.279;1.282;1.284;690.289;1240.533;3140.998;539.817;967.338;2445.773;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BROCOLI;08/2018;1.995;1.973;667.684;631.371;334.695;320.056;1.923;1.684;1.458;89.272;138.76;652.982;46.421;82.386;447.724;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALCACHOFAS;08/2018;1.847;1.646;225.724;41.638;122.182;25.292;2.155;2.343;2.421;18.056;12.644;362.648;8.38;5.396;149.788;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
APIO;08/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLIFLOR;08/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PUERRO;08/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NARANJAS;08/2018;1.12;1.166;4260.639;4387.437;3803.943;3762.173;1.278;1.167;1.285;1182.87;2413.96;5798.823;925.611;2068.943;4511.284;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANDARINAS;08/2018;2.419;2.524;342.885;135.205;141.735;53.562;2.869;1.868;1.944;50.639;102.876;198.159;17.653;55.066;101.931;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LIMONES;08/2018;2.195;2.212;3124.186;2487.859;1423.375;1124.785;2.112;2.191;2.236;792.669;1097.181;3054.127;375.273;500.686;1366.022;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PLATANOS;08/2018;1.555;1.74;8774.12;5710.471;5641.162;3281.648;1.549;1.629;1.801;1841.341;3049.404;7759.35;1188.494;1872.161;4307.657;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANZANAS;08/2018;1.967;1.904;5593.886;4191.315;2844.476;2201.623;1.758;1.863;1.918;1245.906;1888.85;5215.851;708.82;1014.029;2720.018;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PERAS;08/2018;1.642;1.647;3361.311;2280.511;2047.6;1384.966;1.544;1.772;1.771;769.223;1740.667;3339.059;498.25;982.282;1885.876;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELOCOTONES;08/2018;1.544;1.596;8261.813;6445.97;5350.071;4039.178;1.446;1.547;1.629;1981.323;2791.357;11973.16;1370.277;1804.154;7352.256;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NECTARINAS;08/2018;1.366;1.369;3859.646;2545.51;2824.705;1859.825;1.275;1.339;1.487;905.618;2367.058;3880.748;710.151;1767.759;2610.188;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALBARICOQUES;08/2018;2.021;2.035;537.644;726.428;266.013;356.93;1.906;2.063;2.259;93.812;425.415;602.973;49.231;206.242;266.978;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
FRESAS/FRESON;08/2018;3.526;3.633;340.258;340.228;96.495;93.647;4.085;3.904;3.059;189.892;225.273;589.55;46.489;57.702;192.706;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELON;08/2018;0.851;0.957;12245.4;7924.075;14392.67;8284.37;0.86;0.879;1.015;2975.552;3549.411;12493.62;3460.017;4039.064;12311.78;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
SANDIA;08/2018;0.617;0.657;9890.538;6239.498;16042.58;9494.57;0.704;0.617;0.711;4226.737;3084.795;10484.22;6002.54;4997.965;14748.81;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CIRUELAS;08/2018;1.812;1.792;3191.75;2277.341;1761.219;1271.16;1.682;1.788;1.956;998.573;1876.902;3588.22;593.614;1049.747;1834.67;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEREZAS;08/2018;3.109;2.912;4392.267;3325.22;1412.889;1141.779;2.428;2.834;3.068;544.795;1117.931;3306.734;224.341;394.457;1077.738;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
UVAS;08/2018;2.358;2.088;2964.585;1178.445;1257.166;564.416;1.982;2.028;2.482;387.983;471.198;2665.704;195.728;232.323;1073.874;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
KIWI;08/2018;3.197;3.073;3135.613;3376.728;980.851;1098.907;2.744;3.51;3.238;1193.623;2000.997;4167.593;434.942;570.143;1287.043;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AGUACATE;08/2018;3.011;3.501;2029.093;1870.815;673.837;534.428;4.016;3.17;3.287;427.297;511.376;1970.082;106.396;161.297;599.425;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIÑA;08/2018;1.332;1.688;831.454;669.27;624.175;396.603;1.912;1.553;1.696;159.135;403.76;917.354;83.209;260.011;540.788;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
POMELO;08/2018;1.786;1.871;162.949;140.987;91.216;75.349;1.851;1.794;1.993;68.119;144.025;258.536;36.8;80.26;129.705;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHIRIMOYA;08/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANGO;08/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
TOMATES;09/2018;1.559;1.628;18816.53;12769.78;12067.35;7843.775;1.704;1.732;1.751;5207.119;9682.348;19596.77;3055.947;5591.759;11194.56;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEBOLLAS;09/2018;1.012;1.037;5084.168;3247.658;5022.377;3131.161;1.42;1.07;1.13;2297.935;3368.923;5114.18;1617.989;3148.909;4523.908;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AJOS;09/2018;3.853;4.319;1665.299;1113.715;432.215;257.885;4.249;2.932;4.823;286.995;6125.629;1311.587;67.546;2089.588;271.952;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLES;09/2018;1.118;1.223;438.113;599.891;392.019;490.582;1.074;1.132;1.107;76.913;161.947;796.536;71.646;143.068;719.308;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PEPINOS;09/2018;1.199;1.186;2185.959;1658.342;1823.105;1398.482;1.258;1.156;1.349;712.34;1223.662;1985.953;566.033;1058.588;1472.438;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
JUDIAS VERDES;09/2018;3.017;2.968;3036.436;2774.825;1006.519;934.949;3.247;3.263;3.375;862.105;4683.993;5703.568;265.546;1435.647;1689.77;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIMIENTOS;09/2018;1.684;1.896;6532.579;4671.191;3879.142;2463.447;1.636;1.643;1.837;2189.727;4546.519;5202.402;1338.393;2766.621;2832.372;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHAMPIÑONES+O.SETAS;09/2018;4.096;4.24;3015.13;2190.939;736.126;516.733;3.591;3.778;5.044;757.55;536.634;5864.984;210.965;142.031;1162.855;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;09/2018;2.875;3.264;6613.085;4647.239;2300.335;1423.714;3.055;2.484;2.937;997.12;1806.044;7491.924;326.399;727.017;2551.232;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;09/2018;3.195;3.046;483.694;739.132;151.382;242.644;3.038;2.697;2.056;204.254;109.909;791.644;67.237;40.747;385.074;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;09/2018;2.656;2.963;1301.729;1643.627;490.189;554.676;2.068;2.365;2.675;429.292;410.359;1813.917;207.603;173.54;678.076;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;09/2018;1.509;1.652;2375.947;1121.671;1574.345;679.125;1.605;1.556;1.594;230.525;466.532;2526.844;143.619;299.868;1584.925;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;09/2018;0.844;0.933;1817.866;1570.781;2155.121;1683.926;0.851;0.826;0.997;365.264;596.622;2125.062;429.447;721.927;2131.306;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;09/2018;1.264;1.199;3212.466;3086.809;2540.903;2574.654;1.378;1.34;1.328;1196.36;2766.884;3685.828;868.137;2064.887;2776.338;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BROCOLI;09/2018;1.818;2.007;884.378;956.773;486.461;476.787;1.641;1.797;1.674;216.724;312.656;1092.864;132.033;173.974;652.805;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALCACHOFAS;09/2018;2.343;2.548;153.255;85.651;65.411;33.613;3.37;2.242;2.367;25.297;48.094;301.203;7.507;21.453;127.254;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
APIO;09/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLIFLOR;09/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PUERRO;09/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NARANJAS;09/2018;1.409;1.372;4777.117;5858.867;3390.349;4269.31;1.338;1.358;1.42;1091.702;2941.794;6997.679;815.888;2166.022;4928.161;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANDARINAS;09/2018;2.074;2.327;1033.084;1019.033;498.182;437.896;2.573;1.766;1.936;169.258;443.687;1080.526;65.788;251.283;558.147;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LIMONES;09/2018;2.122;2.238;3000.277;2826.981;1413.791;1263.283;2.127;2.291;2.462;776.061;1301.003;3082.131;364.837;567.945;1252.001;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PLATANOS;09/2018;1.482;1.767;10113.86;8468.72;6826.491;4793.539;1.623;1.694;1.819;2796.876;3388.913;10135.13;1723.786;2000.634;5570.582;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANZANAS;09/2018;1.579;1.684;8423.322;6035.265;5335.265;3584.77;1.543;2.087;1.576;1316.196;6424.345;7313.381;853.151;3079.0;4639.528;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PERAS;09/2018;1.455;1.55;4358.208;4586.003;2996.25;2958.308;1.511;1.219;1.668;932.211;3312.949;4810.229;616.815;2717.453;2883.841;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELOCOTONES;09/2018;1.574;1.63;6373.893;7682.826;4048.983;4712.186;1.599;1.566;1.721;1867.688;2658.784;11208.9;1168.158;1697.785;6512.324;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NECTARINAS;09/2018;1.463;1.493;2639.2;2939.352;1804.345;1968.257;1.382;1.488;1.536;749.646;1602.129;3511.959;542.491;1076.369;2285.805;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALBARICOQUES;09/2018;1.845;2.115;153.136;162.432;82.989;76.815;2.6;2.215;2.479;224.807;116.994;281.421;86.47;52.815;113.542;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
FRESAS/FRESON;09/2018;3.781;4.154;307.381;332.35;81.296;80.015;4.37;3.07;4.144;140.46;172.478;485.352;32.14;56.183;117.135;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELON;09/2018;0.745;0.787;10019.16;7754.571;13440.92;9851.589;0.66;0.702;0.832;2074.297;2624.986;10780.89;3144.111;3738.046;12961.65;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
SANDIA;09/2018;0.604;0.641;6859.182;5406.367;11348.29;8434.566;0.583;0.598;0.65;1869.061;1638.236;6419.16;3203.378;2739.523;9869.461;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CIRUELAS;09/2018;1.728;1.888;3085.358;3048.324;1785.139;1614.872;1.731;1.639;1.941;699.852;3038.758;3218.12;404.315;1853.496;1657.604;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEREZAS;09/2018;2.946;3.212;657.422;120.196;223.191;37.417;1.348;2.309;2.211;8.448;271.433;308.965;6.267;117.546;139.739;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
UVAS;09/2018;2.039;1.969;7888.729;4129.045;3868.866;2096.901;2.221;1.942;2.225;652.558;1655.468;6872.377;293.827;852.335;3088.812;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
KIWI;09/2018;3.254;3.375;4135.477;4226.692;1270.708;1252.402;2.771;3.468;3.503;1102.451;2076.749;4499.284;397.858;598.889;1284.546;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AGUACATE;09/2018;3.745;3.874;2358.914;2106.435;629.931;543.676;4.109;3.549;3.497;353.12;674.592;2450.977;85.934;190.094;700.898;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIÑA;09/2018;1.546;2.08;1077.764;1376.484;697.241;661.914;1.464;1.555;1.919;143.284;244.798;1244.738;97.884;157.452;648.802;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
POMELO;09/2018;1.445;2.281;269.205;262.664;186.242;115.174;2.381;1.73;2.284;58.504;70.109;401.842;24.572;40.514;175.969;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHIRIMOYA;09/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANGO;09/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
TOMATES;10/2018;1.608;1.729;14256.03;11741.43;8862.992;6790.276;1.551;1.692;1.841;2833.61;4531.931;15961.89;1827.185;2678.338;8671.847;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEBOLLAS;10/2018;1.018;1.209;4753.447;5045.153;4669.463;4171.432;1.063;1.184;1.1;837.993;1272.003;5598.202;788.252;1074.012;5088.256;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AJOS;10/2018;4.103;3.757;1820.219;2156.536;443.671;574.074;3.992;3.989;4.222;307.644;434.419;1231.675;77.074;108.903;291.729;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLES;10/2018;1.114;1.181;688.275;908.585;617.688;769.54;1.039;1.043;1.121;208.621;393.333;1053.343;200.849;376.94;939.65;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PEPINOS;10/2018;1.379;1.43;1800.189;1291.032;1305.098;902.95;1.308;1.518;1.466;442.027;498.868;1580.706;338.068;328.637;1078.341;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
JUDIAS VERDES;10/2018;2.671;2.868;2385.935;3451.431;893.178;1203.561;3.001;3.037;3.464;597.411;761.117;4652.852;199.069;250.594;1343.224;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIMIENTOS;10/2018;1.681;1.76;6067.81;4631.328;3610.168;2631.733;1.818;1.745;1.813;1707.527;4084.414;6002.915;939.04;2341.219;3311.146;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHAMPIÑONES+O.SETAS;10/2018;4.416;4.888;3579.072;3494.589;810.474;714.918;4.436;3.861;5.059;1001.469;874.006;6820.665;225.762;226.392;1348.126;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;10/2018;2.98;3.154;6336.468;4400.061;2126.114;1394.922;2.996;2.564;3.068;1058.992;1379.845;7038.194;353.511;538.111;2293.709;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;10/2018;3.504;3.481;462.789;779.94;132.078;224.072;4.299;4.193;2.174;224.397;92.567;1249.854;52.192;22.075;575.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;10/2018;2.41;2.269;1442.253;1941.499;598.451;855.842;2.17;2.587;2.517;463.843;362.932;2179.325;213.8;140.293;865.787;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;10/2018;1.574;1.576;2102.053;1234.747;1335.145;783.288;1.579;1.658;1.57;296.969;320.077;2019.843;188.12;193.062;1286.663;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;10/2018;0.831;1.078;1936.119;2520.946;2331.123;2338.408;0.789;0.822;0.961;344.896;571.405;2009.428;437.201;695.01;2091.937;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;10/2018;1.338;1.354;3464.264;3772.659;2589.824;2785.745;1.594;1.428;1.363;1934.288;893.65;3781.954;1213.471;625.897;2774.904;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BROCOLI;10/2018;1.583;1.879;1336.452;1053.81;844.313;560.82;1.493;1.65;1.66;221.824;345.126;1608.947;148.557;209.119;968.973;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALCACHOFAS;10/2018;2.452;2.627;266.072;122.164;108.524;46.501;2.861;2.689;3.014;105.723;42.048;465.835;36.948;15.636;154.577;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
APIO;10/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLIFLOR;10/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PUERRO;10/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NARANJAS;10/2018;1.313;1.334;6979.011;7696.44;5313.485;5768.601;1.306;1.296;1.398;1515.097;3735.093;9442.917;1159.844;2882.325;6754.184;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANDARINAS;10/2018;1.39;1.646;4427.987;5437.562;3185.388;3303.696;1.479;1.358;1.552;1667.452;1538.601;6712.87;1127.713;1133.131;4326.06;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LIMONES;10/2018;1.864;1.85;2938.882;2552.609;1576.343;1379.691;1.677;1.956;2.083;497.959;1387.537;3153.076;296.917;709.305;1513.617;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PLATANOS;10/2018;1.532;1.643;12320.93;9900.116;8043.392;6025.573;1.538;1.69;1.762;2970.734;3802.303;13074.62;1931.054;2249.683;7420.728;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANZANAS;10/2018;1.469;1.563;9457.809;9263.844;6436.291;5927.607;1.335;1.572;1.57;2391.38;4543.65;10514.32;1790.927;2890.97;6696.354;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PERAS;10/2018;1.45;1.5;5709.981;5359.737;3936.777;3572.231;1.388;1.464;1.502;1703.15;2123.442;5293.204;1227.41;1450.81;3524.901;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELOCOTONES;10/2018;1.919;1.994;3994.984;4293.942;2081.972;2153.361;1.823;1.994;2.195;1548.92;1401.998;8569.887;849.763;703.271;3904.853;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NECTARINAS;10/2018;1.573;1.573;838.995;852.094;533.383;541.659;1.395;1.647;1.462;169.448;332.247;1081.288;121.445;201.767;739.75;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALBARICOQUES;10/2018;1.718;2.607;41.984;94.533;24.434;36.258;2.79;2.593;2.375;19.821;22.582;67.526;7.103;8.708;28.436;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
FRESAS/FRESON;10/2018;2.87;2.978;556.63;468.177;193.936;157.201;4.096;2.683;3.776;104.46;186.106;674.16;25.502;69.375;178.526;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELON;10/2018;0.856;1.132;6937.103;6897.744;8101.958;6094.179;0.876;0.929;1.032;1631.53;1380.451;7319.488;1862.668;1485.214;7095.47;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
SANDIA;10/2018;0.705;0.76;2287.984;1317.151;3246.129;1733.018;0.639;0.681;0.848;880.615;349.617;1136.018;1377.439;513.466;1340.076;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CIRUELAS;10/2018;1.857;2.167;2151.639;2741.182;1158.952;1265.195;1.64;1.783;1.857;525.323;595.969;2389.012;320.374;334.238;1286.834;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEREZAS;10/2018;1.789;2.838;36.036;1698.722;20.143;598.564;1.983;1.88;2.222;2.348;17.072;63.449;1.184;9.079;28.55;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
UVAS;10/2018;2.159;2.224;7530.967;6557.257;3487.609;2948.805;2.102;2.269;2.379;1011.087;2939.81;8382.988;481.125;1295.513;3524.25;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
KIWI;10/2018;3.272;3.004;4650.388;5321.093;1421.475;1771.311;2.659;3.245;3.302;1636.649;2243.295;6071.827;615.581;691.398;1838.712;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AGUACATE;10/2018;3.077;3.182;2767.176;2477.257;899.426;778.424;3.524;3.84;3.563;545.928;554.651;2953.74;154.911;144.442;829.069;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIÑA;10/2018;1.953;1.923;1662.834;1520.658;851.319;790.766;1.663;2.247;1.625;250.801;611.012;1802.587;150.803;271.961;1109.058;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
POMELO;10/2018;1.751;1.827;186.868;361.879;106.734;198.068;1.664;1.582;1.652;38.599;116.736;288.562;23.191;73.775;174.63;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHIRIMOYA;10/2018;0.0;2.954;0.0;21.222;0.0;7.184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANGO;10/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
TOMATES;11/2018;1.538;1.736;11643.91;9532.138;7572.042;5491.469;1.63;1.667;1.902;2779.794;2357.363;13095.08;1705.368;1413.74;6885.428;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEBOLLAS;11/2018;1.005;1.067;4763.856;3286.84;4742.347;3081.169;0.998;0.999;1.061;775.044;1248.937;5954.376;776.798;1249.902;5610.19;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AJOS;11/2018;3.923;4.099;1974.684;1583.251;503.421;386.274;4.575;4.239;4.489;379.793;441.176;1974.281;83.023;104.069;439.83;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLES;11/2018;1.101;1.146;809.684;1211.051;735.538;1057.068;1.28;1.093;1.269;305.802;436.194;1405.43;238.928;399.082;1107.685;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PEPINOS;11/2018;1.503;1.661;1171.851;988.417;779.435;594.945;1.578;1.609;1.752;393.892;257.044;1402.664;249.592;159.747;800.676;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
JUDIAS VERDES;11/2018;3.306;2.836;2837.997;2514.459;858.466;886.551;2.892;3.315;3.112;771.949;774.248;4270.318;266.884;233.578;1372.185;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIMIENTOS;11/2018;1.812;1.836;4511.976;3623.434;2489.995;1973.443;1.589;1.792;1.918;1249.572;1707.478;4341.1;786.309;952.776;2263.227;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHAMPIÑONES+O.SETAS;11/2018;4.008;4.382;3911.046;3700.274;975.847;844.379;4.469;3.706;5.278;1714.31;736.638;6919.055;383.628;198.757;1310.992;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;11/2018;2.95;3.14;5465.038;3891.572;1852.524;1239.349;2.946;2.564;2.993;1087.201;1395.977;5902.717;369.011;544.436;1972.072;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;11/2018;2.45;2.626;542.5;729.32;221.413;277.706;3.795;2.294;1.912;241.739;75.408;859.44;63.696;32.877;449.41;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;11/2018;2.287;2.221;1673.975;1880.113;731.926;846.447;2.155;2.569;2.24;556.894;439.914;2549.65;258.363;171.26;1138.004;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;11/2018;1.676;1.564;1557.374;1017.94;929.448;651.024;1.606;1.753;1.649;369.587;195.718;1611.825;230.115;111.64;977.317;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;11/2018;0.841;0.838;1690.33;1653.297;2010.547;1973.929;0.824;0.8;0.96;370.697;588.428;1816.825;449.719;735.138;1892.36;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;11/2018;1.834;1.695;3702.171;3065.88;2018.426;1808.415;1.763;1.755;1.893;948.283;738.456;4071.602;538.004;420.846;2150.716;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
