Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
MELOCOTONES;06/2018;1.712;1.897;4740.682;4560.149;2769.796;2404.259;1.798;1.631;1.961;1385.454;1652.983;8971.301;770.608;1013.376;4573.902;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
NECTARINAS;06/2018;1.648;1.606;2362.964;2281.011;1434.268;1420.446;1.675;1.654;1.855;735.863;1487.683;3127.313;439.447;899.241;1685.93;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALBARICOQUES;06/2018;1.776;1.897;3631.761;5535.199;2044.875;2918.034;1.813;1.711;1.977;1477.823;1856.558;5201.43;815.196;1085.262;2630.424;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
FRESAS/FRESON;06/2018;2.806;2.478;3181.335;1981.818;1133.879;799.646;2.629;2.537;3.076;520.337;855.705;2990.541;197.907;337.25;972.36;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELON;06/2018;1.085;1.154;8365.232;6750.674;7706.663;5849.273;1.002;1.052;1.21;1455.348;2236.68;9075.918;1451.732;2125.872;7499.521;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
SANDIA;06/2018;0.888;0.912;13517.75;8154.117;15214.77;8944.796;0.873;0.864;1.031;3946.542;2931.367;11714.27;4518.155;3394.156;11364.18;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CIRUELAS;06/2018;1.939;1.812;807.856;584.397;416.713;322.465;1.852;1.99;2.45;196.622;166.748;1027.697;106.186;83.812;419.474;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEREZAS;06/2018;3.151;3.119;11737.55;10768.32;3724.945;3452.547;3.366;2.872;3.393;2035.818;3620.542;13079.89;604.895;1260.666;3855.442;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
UVAS;06/2018;3.282;3.589;1110.306;1156.064;338.341;322.102;3.329;2.648;3.565;135.469;244.13;953.305;40.699;92.209;267.418;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
KIWI;06/2018;3.322;2.977;4041.753;4641.347;1216.793;1559.296;2.663;3.341;3.411;1263.806;2300.864;4869.17;474.604;688.579;1427.57;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AGUACATE;06/2018;3.314;3.31;2314.44;2009.974;698.377;607.232;3.455;3.335;3.525;607.781;869.316;2796.193;175.891;260.661;793.204;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIÑA;06/2018;1.377;1.429;1352.838;1371.031;982.548;959.28;1.183;1.264;1.397;334.849;516.022;1795.151;282.992;408.362;1285.442;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
POMELO;06/2018;1.382;1.991;192.44;338.938;139.25;170.198;1.997;1.73;1.678;84.442;153.867;338.539;42.281;88.949;201.725;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHIRIMOYA;06/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MANGO;06/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
TOMATES;07/2018;1.251;1.402;16538.25;12043.19;13222.68;8589.191;1.303;1.418;1.525;3797.56;4086.738;18466.42;2914.104;2882.001;12108.78;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEBOLLAS;07/2018;1.048;1.098;5644.397;3126.452;5387.374;2848.047;0.987;1.112;1.131;1015.372;1492.717;5446.636;1029.217;1342.915;4817.509;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AJOS;07/2018;3.184;3.973;3268.778;1187.643;1026.583;298.901;3.336;3.44;4.407;711.278;1005.357;1381.325;213.243;292.263;313.443;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLES;07/2018;1.066;1.051;363.713;311.486;341.347;296.494;0.957;0.973;1.054;129.024;157.168;579.232;134.862;161.491;549.335;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PEPINOS;07/2018;1.03;1.099;2916.485;2276.147;2830.631;2070.605;1.042;1.146;1.045;1013.523;661.277;2340.164;972.246;577.04;2240.369;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
JUDIAS VERDES;07/2018;2.9;2.242;2884.865;2030.07;994.92;905.586;2.456;2.584;2.854;688.697;1351.42;5910.262;280.441;523.068;2070.905;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIMIENTOS;07/2018;1.765;1.781;7019.555;4269.799;3977.707;2397.951;1.645;1.893;1.893;1484.718;1831.148;6256.575;902.816;967.524;3304.792;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHAMPIÑONES+O.SETAS;07/2018;3.863;3.676;1916.225;1649.965;496.053;448.821;2.713;3.562;3.335;485.655;488.461;2052.796;179.04;137.13;615.518;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
LECHUGA/ESC./ENDIVIA;07/2018;2.83;3.119;6573.572;3908.846;2323.174;1253.366;2.618;2.433;2.928;1000.706;2021.234;7779.071;382.196;830.628;2656.879;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ESPARRAGOS;07/2018;3.056;2.759;580.925;725.932;190.122;263.081;3.695;4.298;1.849;200.787;64.877;916.847;54.334;15.094;495.81;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
VERDURAS DE HOJA;07/2018;2.612;2.828;945.926;1021.782;362.189;361.369;2.65;2.712;2.566;264.11;345.459;1284.35;99.683;127.374;500.447;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BERENJENAS;07/2018;1.39;1.219;2516.717;679.05;1810.571;556.863;1.593;1.315;1.367;339.875;207.001;2669.005;213.318;157.377;1952.446;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ZANAHORIAS;07/2018;0.891;0.917;1625.542;1262.365;1824.117;1376.216;0.946;0.896;0.996;357.977;620.051;1831.751;378.375;691.989;1839.572;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CALABACINES;07/2018;1.276;1.031;3206.951;1902.523;2512.481;1845.857;1.404;1.242;1.188;962.708;953.115;3473.929;685.504;767.343;2924.94;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
BROCOLI;07/2018;1.607;1.627;810.526;536.819;504.293;329.863;1.927;1.359;1.483;198.838;245.572;1183.567;103.205;180.688;798.042;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALCACHOFAS;07/2018;1.929;1.207;279.294;78.011;144.752;64.637;1.958;1.912;2.119;25.713;72.038;486.335;13.133;37.677;229.513;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
APIO;07/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
COLIFLOR;07/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
